,Unnamed: 0,iso2,year,sex,new_sp_04,new_sp_514,new_sp_014,new_sp_1524,new_sp_2534,new_sp_3544,new_sp_4554,new_sp_5564,new_sp_65,new_sp_u
count,4713.0,4711,4713.0,4713,784.0,804.0,4702.0,4713.0,4713.0,4713.0,4713.0,4712.0,4713.0,544.0
unique,,211,,2,,,,,,,,,,
top,,CA,,Male,,,,,,,,,,
freq,,58,,2359,,,,,,,,,,
mean,2832.9677487799704,,2001.6855506047104,,7.6186224489795915,34.14054726368159,93.71735431731179,854.459155527265,1096.4988330150647,912.4067472947168,707.3322724379376,496.18399830220716,440.54827074050496,4.136029411764706
std,1626.4710769239011,,4.307571856197304,,42.996019420024155,150.86097084974423,368.7997802204275,3793.761248655078,4433.886394755331,4213.179438973431,3619.9026517756356,2837.1772381053747,2744.3625914547347,66.43258998839642
min,6.0,,1980.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1407.0,,1998.0,,0.0,0.0,1.0,9.0,12.0,10.0,8.0,6.0,7.0,0.0
50%,2791.0,,2002.0,,0.0,1.0,7.0,82.0,115.0,89.0,62.0,40.0,40.0,0.0
75%,4242.0,,2005.0,,2.0,9.0,44.0,477.0,584.0,437.0,303.0,201.0,178.0,0.0
max,5768.0,,2008.0,,655.0,2062.0,8319.0,77121.0,83850.0,90498.0,78815.0,57492.0,70376.0,1416.0
