,year,iso2,variable,value
47023,1980,CA,new_sp_m5564,108.0
81808,1980,CK,new_sp_f1524,3.0
87406,1980,CA,new_sp_f2534,51.0
871,1980,CA,new_sp,951.0
18349,1980,CK,new_sp_m014,0.0
41425,1980,CK,new_sp_m4554,1.0
18178,1980,CA,new_sp_m014,12.0
23947,1980,CA,new_sp_m1524,54.0
93175,1980,CA,new_sp_f3544,34.0
75868,1980,CA,new_sp_f014,18.0
104713,1980,CA,new_sp_f5564,33.0
99115,1980,CK,new_sp_f4554,1.0
93346,1980,CK,new_sp_f3544,0.0
76039,1980,CK,new_sp_f014,0.0
81637,1980,CA,new_sp_f1524,62.0
1042,1980,CK,new_sp,8.0
29716,1980,CA,new_sp_m2534,75.0
104884,1980,CK,new_sp_f5564,0.0
3353,1980,MN,new_sp,0.0
52792,1980,CA,new_sp_m65,186.0
24118,1980,CK,new_sp_m1524,2.0
87577,1980,CK,new_sp_f2534,0.0
52963,1980,CK,new_sp_m65,0.0
110482,1980,CA,new_sp_f65,104.0
5270,1980,TZ,new_sp,7391.0
47194,1980,CK,new_sp_m5564,0.0
29887,1980,CK,new_sp_m2534,0.0
41254,1980,CA,new_sp_m4554,100.0
110653,1980,CK,new_sp_f65,0.0
35485,1980,CA,new_sp_m3544,83.0
98944,1980,CA,new_sp_f4554,31.0
35656,1980,CK,new_sp_m3544,1.0
47024,1981,CA,new_sp_m5564,103.0
98945,1981,CA,new_sp_f4554,28.0
81638,1981,CA,new_sp_f1524,46.0
5271,1981,TZ,new_sp,7082.0
52793,1981,CA,new_sp_m65,141.0
35657,1981,CK,new_sp_m3544,0.0
52964,1981,CK,new_sp_m65,0.0
47195,1981,CK,new_sp_m5564,0.0
23948,1981,CA,new_sp_m1524,49.0
75869,1981,CA,new_sp_f014,6.0
24119,1981,CK,new_sp_m1524,0.0
872,1981,CA,new_sp,803.0
18179,1981,CA,new_sp_m014,8.0
35486,1981,CA,new_sp_m3544,64.0
93176,1981,CA,new_sp_f3544,26.0
104714,1981,CA,new_sp_f5564,35.0
87407,1981,CA,new_sp_f2534,57.0
29888,1981,CK,new_sp_m2534,1.0
93347,1981,CK,new_sp_f3544,0.0
87578,1981,CK,new_sp_f2534,0.0
18350,1981,CK,new_sp_m014,0.0
41426,1981,CK,new_sp_m4554,0.0
41255,1981,CA,new_sp_m4554,87.0
99116,1981,CK,new_sp_f4554,0.0
104885,1981,CK,new_sp_f5564,1.0
76040,1981,CK,new_sp_f014,0.0
110483,1981,CA,new_sp_f65,92.0
81809,1981,CK,new_sp_f1524,0.0
110654,1981,CK,new_sp_f65,0.0
29717,1981,CA,new_sp_m2534,61.0
1043,1981,CK,new_sp,2.0
47025,1982,CA,new_sp_m5564,91.0
81810,1982,CK,new_sp_f1524,2.0
35487,1982,CA,new_sp_m3544,69.0
87579,1982,CK,new_sp_f2534,0.0
18180,1982,CA,new_sp_m014,6.0
5272,1982,TZ,new_sp,6382.0
35658,1982,CK,new_sp_m3544,1.0
24120,1982,CK,new_sp_m1524,0.0
41256,1982,CA,new_sp_m4554,90.0
47196,1982,CK,new_sp_m5564,3.0
99117,1982,CK,new_sp_f4554,0.0
